Reference_Year,Local_Government,Waste_Resource_Recovery_Group_WRRG,Council_Link
2019-2020,Alpine Shire Council,North East WRRG,https://www.alpineshire.vic.gov.au/residents/waste-and-recycling
2019-2020,Ararat Rural City Council,Grampians Central West WRRG,http://www.ararat.vic.gov.au/services/waste-and-recycling
2019-2020,Ballarat City Council,Grampians Central West WRRG,https://www.ballarat.vic.gov.au/property/waste
2019-2020,Banyule City Council,Metropolitan WRRG,https://www.banyule.vic.gov.au/Waste-environment/Waste-recycling
2019-2020,Bass Coast Shire Council,Gippsland WRRG,https://www.basscoast.vic.gov.au/services/waste-rubbish
2019-2020,Baw Baw Shire Council,Gippsland WRRG,https://www.bawbawshire.vic.gov.au/Resident-Information/Environment-Recycling-and-Waste
2019-2020,Bayside City Council,Metropolitan WRRG,https://www.bayside.vic.gov.au/services/waste-and-recycling
2019-2020,Benalla Rural City Council,North East WRRG,https://www.benalla.vic.gov.au/Your-Community/Landfill-Waste-Recycling
2019-2020,Boroondara City Council,Metropolitan WRRG,https://www.boroondara.vic.gov.au/waste-environment/waste-services
2019-2020,Brimbank City Council,Metropolitan WRRG,https://www.brimbank.vic.gov.au/rubbish-recycling-and-waste
2019-2020,Buloke Shire Council,Loddon Mallee WRRG,https://www.buloke.vic.gov.au/waste-and-recycling
2019-2020,Campaspe Shire Council,Goulburn Valley WRRG,https://www.campaspe.vic.gov.au/Our-services/Waste-recycling
2019-2020,Cardinia Shire Council,Metropolitan WRRG,https://www.cardinia.vic.gov.au/rubbishandrecycling
2019-2020,Casey City Council,Metropolitan WRRG,https://www.casey.vic.gov.au/waste
2019-2020,Central Goldfields Shire Council,Grampians Central West WRRG,https://www.centralgoldfields.vic.gov.au/Property/Rubbish-and-recycling
2019-2020,Colac Otway Shire Council,Barwon South West WRRG,https://www.colacotway.vic.gov.au/My-property/Rubbish-recycling
2019-2020,Corangamite Shire Council,Barwon South West WRRG,https://www.corangamite.vic.gov.au/Property/Rubbish-and-Recycling
2019-2020,Darebin City Council,Metropolitan WRRG,https://www.darebin.vic.gov.au/Waste-and-environment
2019-2020,East Gippsland Shire Council,Gippsland WRRG,https://www.eastgippsland.vic.gov.au/environment-and-waste/waste
2019-2020,Frankston City Council,Metropolitan WRRG,https://www.frankston.vic.gov.au/My-Property/Waste-and-recycling
2019-2020,Gannawarra Shire Council,Loddon Mallee WRRG,https://www.gannawarra.vic.gov.au/Property/Waste
2019-2020,Glen Eira City Council,Metropolitan WRRG,https://www.gleneira.vic.gov.au/services/rubbish-and-recycling
2019-2020,Glenelg Shire Council,Barwon South West WRRG,https://www.glenelg.vic.gov.au/Our-Services/Waste-and-Recycling
2019-2020,Golden Plains Shire Council,Grampians Central West WRRG,https://www.goldenplains.vic.gov.au/resident/waste-management
2019-2020,Greater Bendigo City Council,Loddon Mallee WRRG,https://www.bendigo.vic.gov.au/Services/General-Waste-Recycling-and-Organics
2019-2020,Greater Dandenong City Council,Metropolitan WRRG,https://www.greaterdandenong.vic.gov.au/waste
2019-2020,Greater Geelong City Council,Barwon South West WRRG,https://www.geelongaustralia.com.au/recycling/default.aspx
2019-2020,Greater Shepparton City Council,Goulburn Valley WRRG,https://greatershepparton.com.au/animals-environment-and-waste/waste-and-recycling
2019-2020,Hepburn Shire Council,Grampians Central West WRRG,https://www.hepburn.vic.gov.au/waste-management/
2019-2020,Hindmarsh Shire Council,Grampians Central West WRRG,https://www.hindmarsh.vic.gov.au/waste-and-recycling
2019-2020,Hobsons Bay City Council,Metropolitan WRRG,https://www.hobsonsbay.vic.gov.au/Services/Waste-Recycling
2019-2020,Horsham Rural City Council,Grampians Central West WRRG,https://www.hrcc.vic.gov.au/Residents/Waste-and-recycling
2019-2020,Hume City Council,Metropolitan WRRG,https://www.hume.vic.gov.au/Residents/Waste-and-Environment/Waste
2019-2020,Indigo Shire Council,North East WRRG,https://www.indigoshire.vic.gov.au/Residents/Bins-rubbish-and-recycling
2019-2020,Kingston City Council,Metropolitan WRRG,https://www.kingston.vic.gov.au/services/rubbish-and-recycling
2019-2020,Knox City Council,Metropolitan WRRG,https://www.knox.vic.gov.au/our-services/bins-rubbish-and-recycling
2019-2020,Latrobe City Council,Gippsland WRRG,https://www.latrobe.vic.gov.au/Home/Waste
2019-2020,Loddon Shire Council,Loddon Mallee WRRG,https://www.loddon.vic.gov.au/For-residents/Your-home/Garbage-and-recycling
2019-2020,Macedon Ranges Shire Council,Loddon Mallee WRRG,https://www.mrsc.vic.gov.au/Live-Work/Bins-Rubbish-Recycling
2019-2020,Manningham City Council,Metropolitan WRRG,https://www.manningham.vic.gov.au/waste-and-recycling
2019-2020,Mansfield Shire Council,North East WRRG,https://www.mansfield.vic.gov.au/Community/Residents/Waste-Recycling
2019-2020,Maribyrnong City Council,Metropolitan WRRG,https://www.maribyrnong.vic.gov.au/Residents/Bins-and-recycling
2019-2020,Maroondah City Council,Metropolitan WRRG,https://www.maroondah.vic.gov.au/Residents-property/Waste-rubbish
2019-2020,Melbourne City Council,Metropolitan WRRG,https://www.melbourne.vic.gov.au/residents/waste-recycling/Pages/waste-recycling.aspx
2019-2020,Melton Shire Council,Metropolitan WRRG,https://www.melton.vic.gov.au/Services/Waste-and-recycling
2019-2020,Mildura Rural City Council,Loddon Mallee WRRG,https://www.mildura.vic.gov.au/Services/Waste-Management
